benchmark,run,result
quadratic,baseline,785
quadratic,trivial_deadcode_elimination,783
quadratic,constant_folding,783
quadratic,liveness,783
quadratic,constant_liveness,783
quadratic,lvn,785
primes-between,baseline,574100
primes-between,trivial_deadcode_elimination,574100
primes-between,constant_folding,571439
primes-between,liveness,572102
primes-between,constant_liveness,569441
primes-between,lvn,574100
birthday,baseline,484
birthday,trivial_deadcode_elimination,483
birthday,constant_folding,483
birthday,liveness,483
birthday,constant_liveness,483
birthday,lvn,484
orders,baseline,5352
orders,trivial_deadcode_elimination,5352
orders,constant_folding,incorrect
orders,liveness,incorrect
orders,constant_liveness,incorrect
orders,lvn,5352
sum-check,baseline,5018
sum-check,trivial_deadcode_elimination,5018
sum-check,constant_folding,5018
sum-check,liveness,5018
sum-check,constant_liveness,5018
sum-check,lvn,5018
palindrome,baseline,298
palindrome,trivial_deadcode_elimination,298
palindrome,constant_folding,298
palindrome,liveness,295
palindrome,constant_liveness,295
palindrome,lvn,298
totient,baseline,253
totient,trivial_deadcode_elimination,253
totient,constant_folding,253
totient,liveness,253
totient,constant_liveness,253
totient,lvn,253
relative-primes,baseline,1923
relative-primes,trivial_deadcode_elimination,1914
relative-primes,constant_folding,1914
relative-primes,liveness,1914
relative-primes,constant_liveness,1914
relative-primes,lvn,1923
hanoi,baseline,99
hanoi,trivial_deadcode_elimination,99
hanoi,constant_folding,99
hanoi,liveness,99
hanoi,constant_liveness,99
hanoi,lvn,99
is-decreasing,baseline,127
is-decreasing,trivial_deadcode_elimination,127
is-decreasing,constant_folding,125
is-decreasing,liveness,127
is-decreasing,constant_liveness,125
is-decreasing,lvn,127
check-primes,baseline,8468
check-primes,trivial_deadcode_elimination,8419
check-primes,constant_folding,8419
check-primes,liveness,8419
check-primes,constant_liveness,8419
check-primes,lvn,8468
sum-sq-diff,baseline,3038
sum-sq-diff,trivial_deadcode_elimination,3036
sum-sq-diff,constant_folding,3036
sum-sq-diff,liveness,3036
sum-sq-diff,constant_liveness,3036
sum-sq-diff,lvn,3038
fitsinside,baseline,10
fitsinside,trivial_deadcode_elimination,10
fitsinside,constant_folding,10
fitsinside,liveness,10
fitsinside,constant_liveness,10
fitsinside,lvn,10
fact,baseline,229
fact,trivial_deadcode_elimination,228
fact,constant_folding,228
fact,liveness,228
fact,constant_liveness,228
fact,lvn,229
loopfact,baseline,116
loopfact,trivial_deadcode_elimination,115
loopfact,constant_folding,115
loopfact,liveness,115
loopfact,constant_liveness,115
loopfact,lvn,116
recfact,baseline,104
recfact,trivial_deadcode_elimination,103
recfact,constant_folding,103
recfact,liveness,103
recfact,constant_liveness,103
recfact,lvn,104
factors,baseline,72
factors,trivial_deadcode_elimination,72
factors,constant_folding,72
factors,liveness,72
factors,constant_liveness,72
factors,lvn,72
perfect,baseline,232
perfect,trivial_deadcode_elimination,232
perfect,constant_folding,232
perfect,liveness,232
perfect,constant_liveness,232
perfect,lvn,232
bitshift,baseline,167
bitshift,trivial_deadcode_elimination,167
bitshift,constant_folding,167
bitshift,liveness,167
bitshift,constant_liveness,167
bitshift,lvn,167
digital-root,baseline,247
digital-root,trivial_deadcode_elimination,247
digital-root,constant_folding,247
digital-root,liveness,247
digital-root,constant_liveness,247
digital-root,lvn,247
up-arrow,baseline,252
up-arrow,trivial_deadcode_elimination,252
up-arrow,constant_folding,252
up-arrow,liveness,252
up-arrow,constant_liveness,252
up-arrow,lvn,252
sum-divisors,baseline,159
sum-divisors,trivial_deadcode_elimination,159
sum-divisors,constant_folding,159
sum-divisors,liveness,159
sum-divisors,constant_liveness,159
sum-divisors,lvn,159
ackermann,baseline,1464231
ackermann,trivial_deadcode_elimination,1464231
ackermann,constant_folding,1464231
ackermann,liveness,1464231
ackermann,constant_liveness,1464231
ackermann,lvn,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,trivial_deadcode_elimination,61518
pythagorean_triple,constant_folding,61518
pythagorean_triple,liveness,61518
pythagorean_triple,constant_liveness,61518
pythagorean_triple,lvn,61518
euclid,baseline,563
euclid,trivial_deadcode_elimination,562
euclid,constant_folding,562
euclid,liveness,562
euclid,constant_liveness,562
euclid,lvn,563
binary-fmt,baseline,100
binary-fmt,trivial_deadcode_elimination,100
binary-fmt,constant_folding,100
binary-fmt,liveness,100
binary-fmt,constant_liveness,100
binary-fmt,lvn,100
lcm,baseline,2326
lcm,trivial_deadcode_elimination,2326
lcm,constant_folding,2326
lcm,liveness,2326
lcm,constant_liveness,2326
lcm,lvn,2326
gcd,baseline,46
gcd,trivial_deadcode_elimination,46
gcd,constant_folding,46
gcd,liveness,46
gcd,constant_liveness,46
gcd,lvn,46
catalan,baseline,659378
catalan,trivial_deadcode_elimination,659378
catalan,constant_folding,659378
catalan,liveness,659378
catalan,constant_liveness,659378
catalan,lvn,659378
armstrong,baseline,133
armstrong,trivial_deadcode_elimination,130
armstrong,constant_folding,130
armstrong,liveness,130
armstrong,constant_liveness,130
armstrong,lvn,133
pascals-row,baseline,146
pascals-row,trivial_deadcode_elimination,139
pascals-row,constant_folding,139
pascals-row,liveness,139
pascals-row,constant_liveness,139
pascals-row,lvn,146
collatz,baseline,169
collatz,trivial_deadcode_elimination,169
collatz,constant_folding,169
collatz,liveness,169
collatz,constant_liveness,169
collatz,lvn,169
sum-bits,baseline,73
sum-bits,trivial_deadcode_elimination,73
sum-bits,constant_folding,73
sum-bits,liveness,73
sum-bits,constant_liveness,73
sum-bits,lvn,73
rectangles-area-difference,baseline,14
rectangles-area-difference,trivial_deadcode_elimination,14
rectangles-area-difference,constant_folding,14
rectangles-area-difference,liveness,14
rectangles-area-difference,constant_liveness,14
rectangles-area-difference,lvn,14
mod_inv,baseline,558
mod_inv,trivial_deadcode_elimination,555
mod_inv,constant_folding,555
mod_inv,liveness,555
mod_inv,constant_liveness,555
mod_inv,lvn,558
reverse,baseline,46
reverse,trivial_deadcode_elimination,46
reverse,constant_folding,46
reverse,liveness,46
reverse,constant_liveness,46
reverse,lvn,46
fizz-buzz,baseline,3652
fizz-buzz,trivial_deadcode_elimination,3552
fizz-buzz,constant_folding,3458
fizz-buzz,liveness,3552
fizz-buzz,constant_liveness,3458
fizz-buzz,lvn,3652
bitwise-ops,baseline,1690
bitwise-ops,trivial_deadcode_elimination,1689
bitwise-ops,constant_folding,1689
bitwise-ops,liveness,1688
bitwise-ops,constant_liveness,1688
bitwise-ops,lvn,1690
cholesky,baseline,3761
cholesky,trivial_deadcode_elimination,3750
cholesky,constant_folding,3750
cholesky,liveness,3750
cholesky,constant_liveness,3750
cholesky,lvn,3761
mat-inv,baseline,1044
mat-inv,trivial_deadcode_elimination,1044
mat-inv,constant_folding,1044
mat-inv,liveness,1044
mat-inv,constant_liveness,1044
mat-inv,lvn,1044
dead-branch,baseline,1196
dead-branch,trivial_deadcode_elimination,1196
dead-branch,constant_folding,1196
dead-branch,liveness,1196
dead-branch,constant_liveness,1196
dead-branch,lvn,1196
function_call,baseline,timeout
function_call,trivial_deadcode_elimination,timeout
function_call,constant_folding,timeout
function_call,liveness,timeout
function_call,constant_liveness,timeout
function_call,lvn,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,trivial_deadcode_elimination,142
ray-sphere-intersection,constant_folding,142
ray-sphere-intersection,liveness,142
ray-sphere-intersection,constant_liveness,142
ray-sphere-intersection,lvn,142
conjugate-gradient,baseline,1999
conjugate-gradient,trivial_deadcode_elimination,1999
conjugate-gradient,constant_folding,1999
conjugate-gradient,liveness,1999
conjugate-gradient,constant_liveness,1999
conjugate-gradient,lvn,incorrect
leibniz,baseline,12499997
leibniz,trivial_deadcode_elimination,12499997
leibniz,constant_folding,12499997
leibniz,liveness,12499997
leibniz,constant_liveness,12499997
leibniz,lvn,12499997
n_root,baseline,733
n_root,trivial_deadcode_elimination,733
n_root,constant_folding,733
n_root,liveness,733
n_root,constant_liveness,733
n_root,lvn,733
newton,baseline,217
newton,trivial_deadcode_elimination,217
newton,constant_folding,217
newton,liveness,217
newton,constant_liveness,217
newton,lvn,217
euler,baseline,1908
euler,trivial_deadcode_elimination,1907
euler,constant_folding,1907
euler,liveness,1907
euler,constant_liveness,1907
euler,lvn,1908
riemann,baseline,298
riemann,trivial_deadcode_elimination,298
riemann,constant_folding,298
riemann,liveness,298
riemann,constant_liveness,298
riemann,lvn,298
mandelbrot,baseline,2720947
mandelbrot,trivial_deadcode_elimination,2720813
mandelbrot,constant_folding,2720813
mandelbrot,liveness,2720813
mandelbrot,constant_liveness,2720813
mandelbrot,lvn,2720947
norm,baseline,505
norm,trivial_deadcode_elimination,505
norm,constant_folding,504
norm,liveness,505
norm,constant_liveness,504
norm,lvn,505
cordic,baseline,517
cordic,trivial_deadcode_elimination,516
cordic,constant_folding,516
cordic,liveness,516
cordic,constant_liveness,516
cordic,lvn,517
pow,baseline,36
pow,trivial_deadcode_elimination,34
pow,constant_folding,34
pow,liveness,34
pow,constant_liveness,34
pow,lvn,36
sqrt,baseline,322
sqrt,trivial_deadcode_elimination,321
sqrt,constant_folding,321
sqrt,liveness,321
sqrt,constant_liveness,321
sqrt,lvn,322
quickselect,baseline,279
quickselect,trivial_deadcode_elimination,279
quickselect,constant_folding,278
quickselect,liveness,279
quickselect,constant_liveness,278
quickselect,lvn,279
sieve,baseline,3482
sieve,trivial_deadcode_elimination,3455
sieve,constant_folding,3455
sieve,liveness,3454
sieve,constant_liveness,3454
sieve,lvn,3482
bubblesort,baseline,253
bubblesort,trivial_deadcode_elimination,253
bubblesort,constant_folding,252
bubblesort,liveness,253
bubblesort,constant_liveness,252
bubblesort,lvn,253
primitive-root,baseline,11029
primitive-root,trivial_deadcode_elimination,11024
primitive-root,constant_folding,11024
primitive-root,liveness,11024
primitive-root,constant_liveness,11024
primitive-root,lvn,11029
adler32,baseline,6851
adler32,trivial_deadcode_elimination,6851
adler32,constant_folding,6851
adler32,liveness,6851
adler32,constant_liveness,6851
adler32,lvn,6851
adj2csr,baseline,56629
adj2csr,trivial_deadcode_elimination,56629
adj2csr,constant_folding,56629
adj2csr,liveness,56629
adj2csr,constant_liveness,56629
adj2csr,lvn,56629
csrmv,baseline,121202
csrmv,trivial_deadcode_elimination,120652
csrmv,constant_folding,120652
csrmv,liveness,120652
csrmv,constant_liveness,120652
csrmv,lvn,incorrect
dot-product,baseline,88
dot-product,trivial_deadcode_elimination,88
dot-product,constant_folding,88
dot-product,liveness,88
dot-product,constant_liveness,88
dot-product,lvn,incorrect
major-elm,baseline,47
major-elm,trivial_deadcode_elimination,47
major-elm,constant_folding,46
major-elm,liveness,47
major-elm,constant_liveness,46
major-elm,lvn,47
max-subarray,baseline,193
max-subarray,trivial_deadcode_elimination,193
max-subarray,constant_folding,192
max-subarray,liveness,193
max-subarray,constant_liveness,192
max-subarray,lvn,193
mat-mul,baseline,1990407
mat-mul,trivial_deadcode_elimination,1990407
mat-mul,constant_folding,1990407
mat-mul,liveness,1990407
mat-mul,constant_liveness,1990407
mat-mul,lvn,1990407
fib,baseline,121
fib,trivial_deadcode_elimination,121
fib,constant_folding,120
fib,liveness,121
fib,constant_liveness,120
fib,lvn,121
vsmul,baseline,86036
vsmul,trivial_deadcode_elimination,86036
vsmul,constant_folding,86036
vsmul,liveness,86036
vsmul,constant_liveness,86036
vsmul,lvn,86036
quicksort-hoare,baseline,27333
quicksort-hoare,trivial_deadcode_elimination,27333
quicksort-hoare,constant_folding,27333
quicksort-hoare,liveness,27333
quicksort-hoare,constant_liveness,27333
quicksort-hoare,lvn,27333
quicksort,baseline,264
quicksort,trivial_deadcode_elimination,264
quicksort,constant_folding,262
quicksort,liveness,264
quicksort,constant_liveness,262
quicksort,lvn,264
two-sum,baseline,98
two-sum,trivial_deadcode_elimination,88
two-sum,constant_folding,88
two-sum,liveness,88
two-sum,constant_liveness,88
two-sum,lvn,98
eight-queens,baseline,1006454
eight-queens,trivial_deadcode_elimination,959702
eight-queens,constant_folding,959702
eight-queens,liveness,959702
eight-queens,constant_liveness,959702
eight-queens,lvn,1006454
binary-search,baseline,78
binary-search,trivial_deadcode_elimination,75
binary-search,constant_folding,74
binary-search,liveness,75
binary-search,constant_liveness,74
binary-search,lvn,78
